"","Model","Price","Manufacturer","Year","Count"
"375","Accord Touring",23368.1111111111,"Honda",2018,9
"376","Accord Touring 2dr Coupe",12495,"Honda",2016,1
"377","Accord Touring Coupe",24999,"Honda",2016,1
"378","Accord Touring Coupe 2d",23523.3333333333,"Honda",2017,3
"379","Accord Touring Sedan 4d",10779.0833333333,"Honda",2018,12
"380","Accord V6",3800,"Honda",2000,5
"381","Accord V6 Exl",12500,"Honda",2011,1
"382","Accord V6 Touring",20950,"Honda",2016,1
"383","Accord V6 Touring 4d Sedan",12500,"Honda",2013,1
"384","Accord Value Package Sedan",2995,"Honda",2002,1
"385","Accord Vp Sedan",3995,"Honda",2002,1
"386","Accord Vtec 5spd",3166.66666666667,"Honda",2004,3
"387","Accord, Ex",6999,"Honda",2009,2
"388","Accord, Ex-L",4500,"Honda",2006,1
"389","Accord,Ex",4250,"Honda",2000,1
"390","Accored Ex",10800,"Honda",2011,1
"391","Acoord",6999,"Honda",2010,1
"392","Acoord Sport 4dr Turbo",23995,"Honda",2018,1
"393","Acord Sedan",3988,"Honda",2005,1
"394","Acty",5000,"Honda",1992,1
"395","Acty Minitruck",5272,"Honda",1990,2
"396","Alt",10500,"Nissan",2017,1
"397","Altema S",6250,"Nissan",2012,1
"398","Altima",9662.68834688347,"Nissan",2010,1845
"399","Altima 2.5",8361.93333333333,"Nissan",2009,45
"400","Altima 2.5 4dr Sedan",7695,"Nissan",2016,10
"401","Altima 2.5 Coupe",6995,"Nissan",2011,1
"402","Altima 2.5 Platinum Sedan",382,"Nissan",2019,1
"403","Altima 2.5 S",11867.3745318352,"Nissan",2012,267
"404","Altima 2.5 S 4 Door Sedan",5500,"Nissan",2008,2
"405","Altima 2.5 S 4dr Sedan",10817.5,"Nissan",2017,12
"406","Altima 2.5 S Automatic",16999,"Nissan",2018,2
"407","Altima 2.5 S Camera",17995,"Nissan",2020,1
"408","Altima 2.5 S Coupe 2d",12590,"Nissan",2012,1
"409","Altima 2.5 S Sedan",14056.1,"Nissan",2013,10
"410","Altima 2.5 S Sedan 4d",13771.8181818182,"Nissan",2018,33
