"","Model","Price","Manufacturer","Year","Count"
"2186","Legacy 2.5i Sport Sedan",21090,"Subaru",2018,2
"2187","Legacy 2.5l Premium",9490,"Subaru",2011,1
"2188","Legacy 3.0r",4400,"Subaru",2005,1
"2189","Legacy 3.6",8000,"Subaru",2011,1
"2190","Legacy 3.6 R",17000,"Subaru",2015,1
"2191","Legacy 3.6r Limited",13095,"Subaru",2016,5
"2192","Legacy 3.6r Limited Awd",9447.5,"Subaru",2010,2
"2193","Legacy 3.6r Limited Sedan",21923.3333333333,"Subaru",2018,6
"2194","Legacy 3.6r Limited, Low",12500,"Subaru",2011,1
"2195","Legacy 4dr Sdn 2.5i Premium Pzev",15494,"Subaru",2016,2
"2196","Legacy 4x4",3975,"Subaru",1991,1
"2197","Legacy 6 Spd Manual",6950,"Subaru",2014,2
"2198","Legacy Awd",6079.83333333333,"Subaru",2017,6
"2199","Legacy Awd Gt",2795,"Subaru",2000,1
"2200","Legacy Awd Premium",1500,"Subaru",2011,1
"2201","Legacy Brighton",1000,"Subaru",1998,1
"2202","Legacy Gr",2000,"Subaru",2005,1
"2203","Legacy Gt",6140,"Subaru",2005,10
"2204","Legacy Gt Limited",7414,"Subaru",2005,7
"2205","Legacy Gt Turbo",6000,"Subaru",2005,1
"2206","Legacy L",4271,"Subaru",1997,7
"2207","Legacy L Wagon",2995,"Subaru",1999,1
"2208","Legacy L Wagon.",2300,"Subaru",1995,1
"2209","Legacy Limited",12834.3636363636,"Subaru",2008,11
"2210","Legacy Limited Bad Credit",14997,"Subaru",2015,2
"2211","Legacy Limited Sedan New Head Gaskets & Timing Belt",5700,"Subaru",2007,1
"2212","Legacy Limited V6 Awd",12991,"Subaru",2012,1
"2213","Legacy Lsi",1900,"Subaru",1997,1
"2214","Legacy Outback",4387.05555555556,"Subaru",2006,36
"2215","Legacy Outback 2.5i",4050,"Subaru",2007,2
"2216","Legacy Outback Awd",3672.5,"Subaru",1998,4
"2217","Legacy Outback Limited",3733,"Subaru",1998,3
"2218","Legacy Outback Wagon",2963.5,"Subaru",2005,14
"2219","Legacy Premium",14872.5333333333,"Subaru",2018,30
"2220","Legacy Premium Awd",9280,"Subaru",2016,3
"2221","Legacy Sedan",2343.44444444444,"Subaru",2003,9
"2222","Legacy Sedan Se",5995,"Subaru",2008,1
"2223","Legacy Sedan Special Edition New Heads Gaskets & Timing Belt",5300,"Subaru",2006,1
"2224","Legacy Sedn",2400,"Subaru",2004,1
"2225","Legacy Spec. B",9500,"Subaru",2007,1
"2226","Legacy Sport",16900,"Subaru",2017,1
"2227","Legacy Turbo",5500,"Subaru",2005,2
"2228","Legacy Type L",1600,"Subaru",1996,1
"2229","Legacy Wagon",3764.375,"Subaru",2006,40
"2230","Legacy Wagon (Natl)",5819,"Subaru",2005,3
"2231","Legend",3137.5,"Acura",1993,4
"2232","Legend Coupe",2000,"Acura",1995,1
"2233","Legend Gs",2000,"Acura",1994,1
"2234","Legend L",4550,"Acura",1990,2
"2235","Legend Ls Coupe",7500,"Acura",1994,1
"2236","Lifted 4runner Sr5 4x4",42248.6,"Toyota",2020,10
"2237","Lifted 4runner Trd Off",42999,"Toyota",2019,2
"2238","Lifted Crosstrek Limited",29999,"Subaru",2018,4
"2239","Lifted Rav4 Xle Awd Gas",32999,"Toyota",2019,1
"2240","Lifted Tacoma Sr5 4x4 Gas",40999,"Toyota",2019,2
"2241","Lifted Tacoma Trd Off 4x4",44346.8260869565,"Toyota",2019,23
"2242","Lifted Tacoma Trd Sport",37889.8571428571,"Toyota",2013,7
"2243","Lifted Tundra 1794 4x4",46749,"Toyota",2017,4
"2244","Lifted Tundra Limited 4x4",51999,"Toyota",2017,5
"2245","Lifted Tundra Limited Trd",51999,"Toyota",2018,1
"2246","Lifted Tundra Platinum",46306.6923076923,"Toyota",2014,13
"2247","Lifted Tundra Sr5 4x4 Gas",43332.3333333333,"Toyota",2017,3
"2248","Lifted Tundra Sr5 Trd Off",45704.8823529412,"Toyota",2018,17
"2249","Lifted Tundra Trd Off 4x4",49427.5714285714,"Toyota",2019,7
"2250","Lifted Tundra Trd Sport",47999,"Toyota",2018,2
"2251","Loyale",1783.33333333333,"Subaru",1992,3
"2252","Ls",17933,"Lexus",2007,40
"2253","Ls-400",5500,"Lexus",1993,1
"2254","Ls 400",5034.85714285714,"Lexus",1998,7
"2255","Ls 400 Luxury Sdn",3816.66666666667,"Lexus",1994,3
"2256","Ls 400 Sedan",5000,"Lexus",1997,1
"2257","Ls 430",8457.5,"Lexus",2003,32
"2258","Ls 430 4dr Sedan",7450,"Lexus",2007,2
"2259","Ls 430 Base",7988,"Lexus",2003,1
"2260","Ls 430 Navi / Cam / Sensors / Sunroof / 133k Miles",11990,"Lexus",2004,1
"2261","Ls 430 Sedan",7995,"Lexus",2005,1
"2262","Ls 460",13897.5918367347,"Lexus",2014,49
"2263","Ls 460 4d Sedan",16800,"Lexus",2010,1
"2264","Ls 460 Awd",13461.7142857143,"Lexus",2011,7
"2265","Ls 460 Luxury Sedan",11331.6666666667,"Lexus",2008,3
"2266","Ls 460 Sedan",143,"Lexus",2009,1
"2267","Ls 460 Sedan 4d",22490,"Lexus",2010,2
"2268","Ls 460l Awd",32000,"Lexus",2015,1
"2269","Ls 500 F-Sport",61991,"Lexus",2018,2
"2270","Ls 600h L",15900,"Lexus",2008,1
"2271","Ls 600h L Luxury Sedan Cvt",17900,"Lexus",2008,2
"2272","Ls400",3109.9,"Lexus",1996,10
"2273","Ls400 1999",2500,"Lexus",1999,1
"2274","Ls430",7603.52173913043,"Lexus",2002,23
"2275","Ls430 Clean A/F",7800,"Lexus",2005,1
"2276","Ls430 Exc. Cond. Clean",7800,"Lexus",2005,2
"2277","Ls430 Excellent Cond.",7800,"Lexus",2005,2
"2278","Ls430 Luxury",11999,"Lexus",2004,2
"2279","Ls460",11835.6428571429,"Lexus",2008,14
"2280","Ls460 Awd",19999.5,"Lexus",2010,2
"2281","Ls460l",10963.3333333333,"Lexus",2007,3
"2282","Ls500",61988,"Lexus",2019,1
"2283","Ls600hl",39500,"Lexus",2008,1
"2284","Ltx V6 3.5l A-Spec",35200,"Acura",2020,1
"2285","Lx",23493.25,"Lexus",2004,12
"2286","Lx 450",4000,"Lexus",1997,1
"2287","Lx 470",12478.125,"Lexus",2006,8
"2288","Lx 470 4x4",11800,"Lexus",2005,1
"2289","Lx 4dr. Sedan",6290,"Honda",2010,1
"2290","Lx 570",30567,"Lexus",2009,7
"2291","Lx450",11000,"Lexus",1997,1
"2292","Lx470",14547.5,"Lexus",1998,6
"2293","Lx470 4x4 Awd",15900,"Lexus",2006,1
"2294","Lx470 Awd",9994,"Lexus",2000,1
"2295","Lx470 Land Cruiser",13900,"Lexus",2004,1
"2296","Lx570",23500,"Lexus",2009,1
"2297","M",10661.6666666667,"BMW",2000,3
"2298","M-35x",6850,"Infiniti",2007,1
"2299","M M37 Sedan 4d",19590,"Infiniti",2012,2
"2300","M M37x Sedan 4d",15590,"Infiniti",2012,1
"2301","M30",3500,"Infiniti",1991,1
"2302","M35",9614.46428571429,"Infiniti",2009,28
"2303","M35 Awd",9995,"Infiniti",2010,1
"2304","M35 Awd X",6000,"Infiniti",2006,1
"2305","M35h",13288,"Infiniti",2012,4
"2306","M35x",6256.42857142857,"Infiniti",2008,7
"2307","M35x Awd",7738.4,"Infiniti",2009,5
"2308","M37",12918.5,"Infiniti",2013,14
"2309","M37 Awd",15000,"Infiniti",2013,1
"2310","M37 X",13997,"Infiniti",2011,2
"2311","M37s",15900,"Infiniti",2013,1
"2312","M37x",10200,"Infiniti",2013,5
"2313","M3i",5395,"Mazda",2010,1
"2314","M45",5868.8,"Infiniti",2003,5
"2315","M45 Sport",4900,"Infiniti",2006,3
"2316","M56",14990,"Infiniti",2011,2
"2317","Mamixa",8900,"Nissan",2010,1
"2318","Matrix",5472.9595959596,"Toyota",2005,99
"2319","Matrix 4wd",4800,"Toyota",2007,1
"2320","Matrix 5dr Wgn Auto S Aw",116,"Toyota",2009,1
"2321","Matrix Base",7498,"Toyota",2010,3
"2322","Matrix S",6847.5,"Toyota",2011,8
"2323","Matrix S Awd",8770,"Toyota",2010,2
"2324","Matrix S Sport Wagon 4d",11723.3333333333,"Toyota",2012,3
"2325","Matrix Sport Wagon",5995,"Toyota",2009,1
"2326","Matrix Sport Wagon 4d",10590,"Toyota",2010,1
"2327","Matrix Sports Wagon",4750,"Toyota",2009,1
"2328","Matrix Xr",4423.20833333333,"Toyota",2003,24
"2329","Matrix Xr 4dr Wagon",6500,"Toyota",2004,1
"2330","Matrix Xr 4wd 4-Speed Automatic",4495,"Toyota",2005,2
"2331","Matrix Xrs",4965.11111111111,"Toyota",2002,9
"2332","Matrix Xrs 4d Sport Wagon",3800,"Toyota",2005,1
"2333","Maxima",11823.6147540984,"Nissan",2010,488
"2334","Maxima 3.5 Platinum",20836,"Nissan",2016,1
"2335","Maxima 3.5 S",10283.6666666667,"Nissan",2009,9
"2336","Maxima 3.5 Se",3251.27272727273,"Nissan",2003,11
"2337","Maxima 3.5 Sl",7547,"Nissan",2016,13
"2338","Maxima 3.5 Sr",16950,"Nissan",2016,3
"2339","Maxima 3.5 Sv",9757.5,"Nissan",2009,18
"2340","Maxima 3.5 Sv Sedan 4d",20998,"Nissan",2018,1
"2341","Maxima 3.5 Sv W/Sport",11470,"Nissan",2014,1
"2342","Maxima 3.5 Sv W/Sport Pkg",10997,"Nissan",2011,1
"2343","Maxima 3.5rl",4000,"Nissan",2007,1
"2344","Maxima 3.5s",15224.5,"Nissan",2017,2
"2345","Maxima 4dr Sdn Se Auto",1975,"Nissan",2001,1
"2346","Maxima 4dr Sdn V6 Cvt 3.5 Sv W/Premium Pkg",9999,"Nissan",2011,1
"2347","Maxima Gle",3084.57142857143,"Nissan",2002,7
"2348","Maxima Gle Sedan",1800,"Nissan",1995,1
"2349","Maxima Gxe",3435,"Nissan",2000,9
"2350","Maxima Platinum",18484.1111111111,"Nissan",2016,9
"2351","Maxima Platinum 3.5l",17900,"Nissan",2017,2
"2352","Maxima Platinum 4dr Sedan",26495,"Nissan",2018,2
"2353","Maxima Platinum Sedan",22950,"Nissan",2017,4
"2354","Maxima Platinum Sedan 4d",19093.8,"Nissan",2016,5
"2355","Maxima S",7879.46666666667,"Nissan",2010,15
"2356","Maxima S Cvt",7995,"Nissan",2012,1
"2357","Maxima Se",4230.81818181818,"Nissan",2005,11
"2358","Maxima Sl",6159.83333333333,"Nissan",2006,12
"2359","Maxima Sl Sedan",3600,"Nissan",2004,1
"2360","Maxima Sl Sedan 4d",16992.5,"Nissan",2006,4
"2361","Maxima Sr",19025,"Nissan",2016,4
"2362","Maxima Sr Fwd Gas Sedan",24999,"Nissan",2017,10
"2363","Maxima Sv",10684.8235294118,"Nissan",2009,17
"2364","Maxima Sv 3.5",7200,"Nissan",2010,1
"2365","Maxima Sv 3.5l",23359,"Nissan",2019,1
"2366","Maxima Sv 3.5l *Ltd Avail*",24958,"Nissan",2017,1
"2367","Maxima Sv Fwd Gas Sedan",25999,"Nissan",2019,2
"2368","Maxima Sv Premium",15999,"Nissan",2016,1
"2369","Maxima Sv Sedan 4d",9861.85714285714,"Nissan",2019,14
"2370","Maxima Sv Sport",9000,"Nissan",2014,1
"2371","Maxima Sv6 Premium",15500,"Nissan",2014,1
"2372","Mazda2",5782.14285714286,"Mazda",2014,7
"2373","Mazda2 Gx",4988,"Mazda",2012,1
"2374","Mazda2 Sport",4062.5,"Mazda",2013,8
"2375","Mazda3",8579.86746987952,"Mazda",2011,332
"2376","Mazda3 2.3",4200,"Mazda",2005,1
"2377","Mazda3 4-Door",15414,"Mazda",2017,26
"2378","Mazda3 4-Door Sport",16990,"Mazda",2017,3
"2379","Mazda3 4-Door Touring",11995,"Mazda",2017,1
"2380","Mazda3 5-Door",16065.8571428571,"Mazda",2017,14
"2381","Mazda3 5-Door Grand",19995,"Mazda",2017,3
"2382","Mazda3 5-Door Touring",16500,"Mazda",2017,1
"2383","Mazda3 Grand Touring",10296.4,"Mazda",2010,10
"2384","Mazda3 Grand Touring Sedan",16493.3333333333,"Mazda",2018,3
"2385","Mazda3 Hatchback",15119.75,"Mazda",2019,4
"2386","Mazda3 I",5884,"Mazda",2004,5
"2387","Mazda3 I Grand Touring",12955.875,"Mazda",2015,16
"2388","Mazda3 I Sport",8228.25,"Mazda",2010,20
"2389","Mazda3 I Sport 4-Door",4895,"Mazda",2010,1
"2390","Mazda3 I Sport Hatchback",13990,"Mazda",2016,2
"2391","Mazda3 I Sport Sedan",6995,"Mazda",2012,1
"2392","Mazda3 I Sport Sedan 4d",10365.3333333333,"Mazda",2016,3
"2393","Mazda3 I Sv",7396.6,"Mazda",2010,5
"2394","Mazda3 I Sv Sedan 4d",13190,"Mazda",2015,3
"2395","Mazda3 I Touring",7864.4,"Mazda",2012,10
"2396","Mazda3 I Touring 4-Door",7499,"Mazda",2012,1
"2397","Mazda3 I Touring 4-Door 4-Speed Automatic",7250,"Mazda",2008,1
"2398","Mazda3 I Touring 4-Door 5-Speed Automatic",6995,"Mazda",2012,2
"2399","Mazda3 I Touring 4dr Seda",8990,"Mazda",2014,5
"2400","Mazda3 I Touring Hatchback",12478.5714285714,"Mazda",2012,7
"2401","Mazda3 I Touring Sedan 4d",13032,"Mazda",2012,5
"2402","Mazda3 I Touring Value",8990,"Mazda",2009,1
"2403","Mazda3 Preferred Hatchback",22490,"Mazda",2019,2
"2404","Mazda3 Preferred Sedan 4d",22590,"Mazda",2019,1
"2405","Mazda3 Premium Sedan 4d",352,"Mazda",2019,1
"2406","Mazda3 S",2995,"Mazda",2006,1
"2407","Mazda3 S-Gt-Hatcback",6995,"Mazda",2007,1
"2408","Mazda3 S Grand Touring",11481.25,"Mazda",2015,4
"2409","Mazda3 S Touring Hatchback",15990,"Mazda",2014,1
"2410","Mazda3 S Touring Sedan 4d",14990,"Mazda",2014,2
"2411","Mazda3 Sedan",18398,"Mazda",2019,1
"2412","Mazda3 Sport",11249,"Mazda",2012,2
"2413","Mazda3 Sport Sedan 4d",15323.3333333333,"Mazda",2017,3
"2414","Mazda3 Touring",16710,"Mazda",2018,2
"2415","Mazda3 Touring 2.5",11084.6666666667,"Mazda",2017,3
"2416","Mazda3 Touring Hatchback",16020,"Mazda",2018,7
"2417","Mazda3 Touring Sedan 4d",13888.6,"Mazda",2017,5
"2418","Mazda3i",11995,"Mazda",2014,1
"2419","Mazda3i Touring",8950,"Mazda",2014,1
"2420","Mazda3s",4500,"Mazda",2007,1
"2421","Mazda5",5828.96078431373,"Mazda",2009,51
"2422","Mazda5 4dr Wgn Auto Grand Touring",5990,"Mazda",2009,1
"2423","Mazda5 Grand Touring",11160,"Mazda",2013,3
"2424","Mazda5 Mini-Van",3995,"Mazda",2009,2
"2425","Mazda5 Sport",8307.22222222222,"Mazda",2014,9
"2426","Mazda5 Touring",4606.8,"Mazda",2006,5
"2427","Mazda6",10190.4459459459,"Mazda",2019,148
"2428","Mazda6 6 I",7495,"Mazda",2010,1
"2429","Mazda6 6 I Touring",8495,"Mazda",2013,1
"2430","Mazda6 Grand Touring",10930.3333333333,"Mazda",2009,3
"2431","Mazda6 Grand Touring Reserve Auto",22770,"Mazda",2018,1
"2432","Mazda6 Grand Touring Sedan",20590,"Mazda",2017,5
"2433","Mazda6 I Grand Touring",13124.4545454545,"Mazda",2014,11
"2434","Mazda6 I Sport",8785,"Mazda",2015,4
"2435","Mazda6 I Sport 76,000",8900,"Mazda",2013,1
"2436","Mazda6 I Sport At",13999,"Mazda",2016,1
"2437","Mazda6 I Sport Sedan 4d",14390,"Mazda",2016,4
"2438","Mazda6 I Touring",11886.5,"Mazda",2010,4
"2439","Mazda6 I Touring Sedan 4d",16310,"Mazda",2016,5
"2440","Mazda6 Sport",5500,"Mazda",2005,1
"2441","Mazda6 Sport (2017.5)",16990,"Mazda",2017,1
"2442","Mazda6 Sport Sedan 4d",16856.6666666667,"Mazda",2017,3
"2443","Mazda6 Sport Wagon",3600,"Mazda",2004,1
"2444","Mazda6 Touring",18613.3333333333,"Mazda",2018,3
"2445","Mazda6 Touring Auto",16942,"Mazda",2018,1
"2446","Mazda6 Touring Sedan 4d",18790,"Mazda",2017,2
"2447","Mazdaspeed3",10121.6666666667,"Mazda",2013,15
"2448","Mazdaspeed3 Sport 5-Door",5850,"Mazda",2007,2
"2449","Mazdaspeed3 Touring",7497.5,"Mazda",2012,2
"2450","Mazdaspeed6",5723.2,"Mazda",2006,5
"2451","Mdx",15690.0303738318,"Acura",2018,428
"2452","Mdx 4wd 4dr Sport/Entertainment Pkg",8494,"Acura",2007,1
"2453","Mdx 4x4",4900,"Acura",2006,1
"2454","Mdx 6-Spd At",10750,"Acura",2011,4
"2455","Mdx 6-Spd At W/Advance Package",13995,"Acura",2011,2
"2456","Mdx 7 Seats Touring Pkg",4749.5,"Acura",2004,2
"2457","Mdx Advance Pkg",28800,"Acura",2016,1
"2458","Mdx All Wheel Drive",14950,"Acura",2012,1
"2459","Mdx Awd",9179.91666666667,"Acura",2003,12
"2460","Mdx Awd 3rd Riw Seat",2500,"Acura",2001,1
"2461","Mdx Awd 4dr",13974,"Acura",2010,3
"2462","Mdx Awd Touring",4995,"Acura",2003,1
"2463","Mdx Awd W/ Tech",7900,"Acura",2007,1
"2464","Mdx Fwd 4dr W/Advance",335,"Acura",2016,1
"2465","Mdx Navigation",22900,"Acura",2016,1
"2466","Mdx Navigation Awd",7350,"Acura",2007,2
"2467","Mdx Premiun",9695,"Acura",2007,1
"2468","Mdx Sh-Awd",15491.6923076923,"Acura",2011,13
"2469","Mdx Sh-Awd 4dr Suv",11988,"Acura",2011,1
"2470","Mdx Sh-Awd Advance",37000,"Acura",2017,1
"2471","Mdx Sh-Awd Carfax",9898,"Acura",2007,2
"2472","Mdx Sh-Awd Sport Hybrid W/",38995,"Acura",2017,1
"2473","Mdx Sh-Awd Sport Utility",19603.6,"Acura",2014,10
"2474","Mdx Sh-Awd Tech Pkg",13800,"Acura",2010,1
"2475","Mdx Sh-Awd W/Advance",17328.3333333333,"Acura",2012,9
"2476","Mdx Sh-Awd W/Advance Pkg",35990,"Acura",2018,1
"2477","Mdx Sh-Awd W/Tech",13528.6363636364,"Acura",2011,22
"2478","Mdx Sh-Awd W/Tech Plus",29900,"Acura",2016,1
"2479","Mdx Sh-Awd W/Tech W/Res",14635,"Acura",2012,5
"2480","Mdx Sh-Awd W/Tech/Dvd",13977,"Acura",2011,1
"2481","Mdx Sh Awd",10147.5,"Acura",2011,2
"2482","Mdx Sh Awd 4dr Suv",17328.3333333333,"Acura",2013,3
"2483","Mdx Sh Awd Gas Suv Auto",27999,"Acura",2014,4
"2484","Mdx Sh Awd W/Advance W/Res",12495,"Acura",2010,2
"2485","Mdx Sh Awd W/Tech W/Res",7995,"Acura",2008,2
"2486","Mdx Sh/Awd",9999,"Acura",2009,1
"2487","Mdx Sport",1300,"Acura",2005,1
"2488","Mdx Sport Utility 4d",18173.25,"Acura",2011,32
"2489","Mdx Tech Awd",15999,"Acura",2013,4
"2490","Mdx Tech Package",11683.6363636364,"Acura",2014,11
"2491","Mdx Tech Pkg",14683.5,"Acura",2012,4
"2492","Mdx Tech Pkg Black",13500,"Acura",2011,1
"2493","Mdx Technology",17809.6,"Acura",2015,5
"2494","Mdx Technology Automatic",13700,"Acura",2012,1
"2495","Mdx Technology Awd",13900,"Acura",2012,1
"2496","Mdx Technology Package",10800,"Acura",2009,1
"2497","Mdx Touring",4586.52631578947,"Acura",2005,19
"2498","Mdx Touring Awd",6178,"Acura",2005,6
"2499","Mdx Touring W/Navi",7495,"Acura",2006,1
"2500","Mdx Touring W/Navi W/Res",6613.33333333333,"Acura",2006,3
"2501","Mdx Touring With Navigation System And Rear Dvd Sy",8800,"Acura",2004,6
"2502","Mdx W/Tech",24494.25,"Acura",2016,4
"2503","Mdx W/Technology Pkg",442.666666666667,"Acura",2017,3
"2504","Mdx W/Technology/A-Spec P",596,"Acura",2019,1
"2505","Miata",7527.38235294118,"Mazda",1999,68
"2506","Miata / Mx-5",7000,"Mazda",2003,1
"2507","Miata Convertible",14750,"Mazda",2000,2
"2508","Miata Gt Convertible",6500,"Mazda",2007,1
"2509","Miata Le",7900,"Mazda",2005,1
"2510","Miata Ls",2800,"Mazda",2000,1
"2511","Miata Mx-5",8030,"Mazda",2008,21
"2512","Miata Mx-5 Club Sport",16900,"Mazda",2016,2
"2513","Miata Mx-5 Sport Conv",5500,"Mazda",2006,1
"2514","Miata Mx5",7250,"Mazda",2004,4
"2515","Miata Mx5 Convertiable",28900,"Mazda",2019,1
"2516","Miata Mx5 Nb",8799,"Mazda",1999,2
"2517","Miata Rf Gts",29999,"Mazda",2019,1
"2518","Miata Se",9850,"Mazda",2000,3
"2519","Mighty Max",4450,"Mitsubishi",1988,1
"2520","Millenia",3828.33333333333,"Mazda",2002,3
"2521","Millennia",600,"Mazda",1999,1
"2522","Minicab",4995,"Mitsubishi",1991,1
"2523","Mirage",7322.14772727273,"Mitsubishi",2020,88
"2524","Mirage De",5850,"Mitsubishi",2015,2
"2525","Mirage Es",15010.2777777778,"Mitsubishi",2020,36
"2526","Mirage Es Hatchback",12290,"Mitsubishi",2018,2
"2527","Mirage G4",9127.28571428571,"Mitsubishi",2019,28
"2528","Mirage G4 Es",18488.3333333333,"Mitsubishi",2019,15
"2529","Mirage G4 Es Cvt",10243.6,"Mitsubishi",2019,5
"2530","Mirage G4 Es Manual",13999,"Mitsubishi",2019,1
"2531","Mirage G4 Es Sedan 4d",12590,"Mitsubishi",2019,1
"2532","Mirage G4 Le",9420,"Mitsubishi",2020,2
"2533","Mirage G4 Se Cvt",12328.3333333333,"Mitsubishi",2020,3
"2534","Mirage Gt",17202.5,"Mitsubishi",2020,2
"2535","Mirage Hatchback",8995,"Mitsubishi",2018,2
"2536","Mirage Le",17888,"Mitsubishi",2020,5
"2537","Mirage Le Cvt",11495,"Mitsubishi",2019,1
"2538","Mirage Se",9689.66666666667,"Mitsubishi",2015,3
"2539","Mirai",12660.3333333333,"Toyota",2017,3
"2540","Mita Convertable",5995,"Mazda",2003,1
"2541","Mmentero Sport",2000,"Mitsubishi",2001,1
"2542","Model: Pliot",4800,"Honda",2006,1
"2543","Montero",4614,"Mitsubishi",2003,10
"2544","Montero 20th Anniv",3900,"Mitsubishi",2003,8
"2545","Montero Sport",2331.16666666667,"Mitsubishi",2002,6
"2546","Montero Sport 4 X 4",1800,"Mitsubishi",2001,1
"2547","Montero Sport Limited",3700,"Mitsubishi",2003,1
"2548","Montero Sport Ls",1500,"Mitsubishi",2001,1
"2549","Montero Sport Ltd 4d",1800,"Mitsubishi",2002,1
"2550","Montero Sport Xls 4x4",3995,"Mitsubishi",2000,1
"2551","Montero Xls",4750,"Mitsubishi",2004,1
"2552","Morano",9263.33333333333,"Nissan",2012,3
"2553","Mpv",3071.15384615385,"Mazda",2003,13
"2554","Mpv · Lx-Sv Minivan",1990,"Mazda",2002,1
"2555","Mpv 5 Es",3960,"Mazda",2004,1
"2556","Mpv 5 Es Wagon",4500,"Mazda",2004,1
"2557","Mpv Es",2127.5,"Mazda",2003,4
"2558","Mpv Lx",2985,"Mazda",2006,8
"2559","Mpv Van",1800,"Mazda",2003,3
"2560","Mpv Wagon",2795,"Mazda",2003,1
"2561","Mr 2",9700,"Toyota",2002,1
"2562","Mr2",6474.125,"Toyota",2000,8
"2563","Mr2 Spyder",9545.90909090909,"Toyota",2001,11
"2564","Mr2 Spyder Convertible",8998.75,"Toyota",2002,4
"2565","Mr2 Sw20",2500,"Toyota",1991,1
"2566","Mr2 Turbo",11101.25,"Toyota",1991,4
"2567","Murado",4200,"Nissan",2005,1
"2568","Murano",13130.1964980545,"Nissan",2014,514
"2569","Murano 4dr Sl Awd V6",7977,"Nissan",2004,2
"2570","Murano Awd",14039.5714285714,"Nissan",2019,7
"2571","Murano Awd 4dr Sl",6663.33333333333,"Nissan",2009,3
"2572","Murano Awd S",24194.6666666667,"Nissan",2019,3
"2573","Murano Awd Suv",16395,"Nissan",2016,3
"2574","Murano Awd Sv",18000,"Nissan",2018,1
"2575","Murano Crosscabriolet",14225,"Nissan",2011,6
"2576","Murano Fwd",11249.25,"Nissan",2014,4
"2577","Murano Le",7730,"Nissan",2009,3
"2578","Murano Le Awd",9261.71428571429,"Nissan",2011,7
"2579","Murano Le Sport Utility",16590,"Nissan",2012,2
"2580","Murano Platinum",25029.2105263158,"Nissan",2015,19
"2581","Murano Platinum Awd",18683,"Nissan",2016,5
"2582","Murano Platinum Awd Gas",19996.25,"Nissan",2016,4
"2583","Murano Platinum Sport",26756.6666666667,"Nissan",2015,6
"2584","Murano S",15072.7906976744,"Nissan",2016,43
"2585","Murano S (2017.5) Sport",21990,"Nissan",2017,2
"2586","Murano S 2017.5) Sport",20390,"Nissan",2017,4
"2587","Murano S Awd",9783.875,"Nissan",2007,16
"2588","Murano S Awd Cvt",5499,"Nissan",2009,2
"2589","Murano S Sport Utility 4d",20890,"Nissan",2016,10
"2590","Murano Se",4580,"Nissan",2003,5
"2591","Murano Se Awd",7247.5,"Nissan",2006,2
"2592","Murano Sl",10661.7934782609,"Nissan",2011,92
"2593","Murano Sl (2017.5) Sport",21590,"Nissan",2017,1
"2594","Murano Sl Automatic",23000,"Nissan",2017,1
"2595","Murano Sl Awd",9577.38709677419,"Nissan",2007,62
"2596","Murano Sl Awd 1 Owner",7995,"Nissan",2010,1
"2597","Murano Sl Awd 4dr Suv",22999,"Nissan",2018,2
"2598","Murano Sl Awd Suv Leathe",8988,"Nissan",2009,1
"2599","Murano Sl Awd Touring Edition",4995,"Nissan",2006,1
"2600","Murano Sl Sport Utility",14240,"Nissan",2014,8
"2601","Murano Slt Awd",9850,"Nissan",2009,1
"2602","Murano Sv",13802.85,"Nissan",2011,20
"2603","Murano Sv Awd",11291.0769230769,"Nissan",2011,13
"2604","Murano Sv Awd Gas Suv",20999,"Nissan",2018,2
"2605","Murano Sv Sport Utility",21699.0909090909,"Nissan",2019,11
"2606","Mx-5",10427.2,"Mazda",2006,15
"2607","Mx-5 Miata",9996.80952380952,"Mazda",2016,42
"2608","Mx-5 Miata Club",20253.8947368421,"Mazda",2015,19
"2609","Mx-5 Miata Grand Touring",19789.4871794872,"Mazda",2008,39
"2610","Mx-5 Miata Rf",24399,"Mazda",2018,1
"2611","Mx-5 Miata Rf Club",30390,"Mazda",2019,9
"2612","Mx-5 Miata Rf Grand",26523.3333333333,"Mazda",2019,6
"2613","Mx-5 Miata Special Editio",7998,"Mazda",2008,2
"2614","Mx-5 Miata Special Edition",2895,"Mazda",1997,1
"2615","Mx-5 Miata Sport",21694.2857142857,"Mazda",2007,7
"2616","Mx-5 Miata Touring",10166,"Mazda",2006,4
"2617","Mx3",2500,"Mazda",1992,1
"2618","Mx5",3995,"Mazda",2009,2
"2619","Mx5 Grand Touring",6500,"Mazda",2007,1
"2620","Mx5 Miata",8183.33333333333,"Mazda",2008,3
"2621","Mx6",1825,"Mazda",1995,2
"2622","Mx6 Gt Turbo",4999,"Mazda",1988,1
"2623","Nsx",50000,"Acura",1991,1
"2624","Nsx Advance Flatout",76499,"Acura",1991,1
"2625","Nsx Supercar",46500,"Honda",1991,1
"2626","Nv",16649.0909090909,"Nissan",2015,22
"2627","Nv 1500 Cargo Van",9000,"Nissan",2013,1
"2628","Nv 200",10466.6666666667,"Nissan",2015,3
"2629","Nv 200 Cargo Van",18227,"Nissan",2019,6
"2630","Nv 200 S",16990,"Nissan",2017,2
"2631","Nv 2500",15995,"Nissan",2014,2
"2632","Nv 2500 Hd",23995,"Nissan",2018,1
"2633","Nv 3500 Hd Passenger",29000,"Nissan",2016,1
