"","Region","Price","Year","Manufacturer","Model","Condition","Cylinders","Fuel","Odometer","Transmission","Drive","Size","Type","Paint_color","State","Lat","Long","JDM"
"4060","Des Moines",14950,2013,"Honda","Cr-V",NA,NA,"Gas",93350,"Automatic",NA,NA,"Suv","Brown","IA",41.6371,-93.7001,"JDM"
"4061","Great Falls",34998,2017,"Ram","1500",NA,"8 cylinders","Gas",56005,"Automatic","4WD",NA,"Truck",NA,"MT",47.6961,-116.781,"Non-JDM"
"4062","Corpus Christi",17924,2019,"Dodge","Grand Caravan",NA,"6 cylinders","Gas",34476,"Automatic","FWD",NA,"Van","White","TX",27.7036,-97.345,"Non-JDM"
"4063","Western Massachusetts",1988,2003,"Mercury","Sable",NA,NA,"Gas",161557,"Automatic",NA,NA,"Sedan","White","MA",41.9156,-72.6148,"Non-JDM"
"4064","Charlottesville",4995,2013,"Volkswagen","Passat","Good","5 cylinders","Gas",176000,"Automatic","FWD",NA,"Sedan","Silver","VA",38.2095,-78.3098,"Non-JDM"
"4065","Tucson",5995,2013,"Ford","Fiesta S",NA,"4 cylinders","Gas",84796,"Manual","FWD",NA,"Sedan","White","AZ",32.2361,-110.879,"Non-JDM"
"4066","Kansas City, Mo",24995,2017,"Chevrolet","Traverse",NA,"6 cylinders","Gas",38557,"Automatic","4WD",NA,"Suv","Grey","KS",38.6716,-94.3665,"Non-JDM"
"4067","Richmond",2500,1996,"Ford","F-150","Good","6 cylinders","Gas",201900,"Automatic","RWD","Full-Size","Pickup","White","VA",37.4638,-77.398,"Non-JDM"
"4068","Buffalo",19990,2017,"Nissan","Pathfinder S Sport","Good","6 cylinders","Gas",65886,"Automatic","4WD",NA,"Other",NA,"NY",33.7792,-84.4118,"JDM"
"4069","Reno / Tahoe",4200,2006,"Acura","Mdx","Good","6 cylinders","Gas",222220,"Automatic","4WD","Full-Size","Suv","Green","CA",39.3953,-119.895,"JDM"
